travel_id,travel_dt,State,Rate,Miles,Deducted,Final_Mile,Reimbursement
723159-202603-6-10497845-244892-20260123,1/23/2026,RI,0.3,30.73720022620387,0,30.73720022620387,9.221160067861161
723159-202603-6-10498098-252048-20260124,1/24/2026,IL,0.7,17.911743966146787,17.911743966146787,0,0
723159-202603-6-10498098-252048-20260124,1/24/2026,IL,0.7,30.378940667045264,30.378940667045264,0,0
723159-202603-6-10498270-243063-20260122,1/22/2026,MA,0.7,35.58236055738162,30,5.5823605573816195,3.9076523901671334
723159-202603-6-10498270-244892-20260122,1/22/2026,MA,0.7,35.58431600520721,30,5.5843160052072065,3.9090212036450445
723159-202604-6-10493822-238746-20260125,1/25/2026,IL,0.7,48.26945694762109,30,18.269456947621087,12.78861986333476
723159-202604-6-10493822-238746-20260125,1/25/2026,IN,0.3,190.8803805140473,0,190.8803805140473,57.264114154214184
723159-202604-6-10493822-238746-20260125,1/25/2026,OH,0.3,38.05358768205309,0,38.05358768205309,11.416076304615927
723159-202604-6-10493822-238746-20260126,1/26/2026,IL,0.7,0.3697720432182795,0.3697720432182795,0,0
723159-202604-6-10493822-238746-20260126,1/26/2026,IL,0.7,1.181495436600731,1.181495436600731,0,0
723159-202604-6-10493822-250887-20260126,1/26/2026,IL,0.7,48.27714731575935,30,18.27714731575935,12.794003121031544
723159-202604-6-10493822-250887-20260126,1/26/2026,IN,0.3,190.89366062694964,0,190.89366062694964,57.26809818808489
723159-202604-6-10493822-250887-20260126,1/26/2026,OH,0.3,38.04277790767726,0,38.04277790767726,11.412833372303178
723159-202604-6-10495737-252048-20260127,1/27/2026,IL,0.7,35.66144834155007,35.66144834155007,0,0
723159-202604-6-10495737-252048-20260127,1/27/2026,IL,0.7,37.528608170557156,24.33855165844993,13.190056512107226,9.233039558475058
723159-202604-6-10497721-243063-20260127,1/27/2026,CT,0.3,17.070191206731216,0,17.070191206731216,5.121057362019365
723159-202604-6-10497721-243063-20260127,1/27/2026,MA,0.7,43.82274821106429,30,13.822748211064287,9.675923747745
723159-202604-6-10497721-243063-20260127,1/27/2026,MA,0.7,5.452907965807822,0,5.452907965807822,3.817035576065475
723159-202604-6-10497721-244892-20260127,1/27/2026,MA,0.7,5.426847332666284,0,5.426847332666284,3.7987931328663986
723160-202603-6-10494381-238746-20260118,1/18/2026,IL,0.7,10.318642421597783,10.318642421597783,0,0
723160-202603-6-10494381-238746-20260118,1/18/2026,IN,0.3,112.39104043892455,19.681357578402217,92.70968286052234,27.8129048581567
723160-202603-6-10494381-238746-20260118,1/18/2026,OH,0.3,211.00983474756825,0,211.00983474756825,63.30295042427047
723160-202603-6-10494381-250887-20260118,1/18/2026,IL,0.7,10.287244690589935,10.287244690589935,0,0
723160-202603-6-10494381-250887-20260118,1/18/2026,IN,0.3,112.41647842690614,19.712755309410063,92.70372311749608,27.811116935248823
723160-202603-6-10494381-250887-20260118,1/18/2026,OH,0.3,210.99223904336552,0,210.99223904336552,63.29767171300965
723223-202601-6-10515517-196157-20260118,1/18/2026,AR,0.3,236.88453227345298,0,236.88453227345298,71.06535968203589
723223-202601-6-10515517-196157-20260118,1/18/2026,IL,0.7,246.5582321012421,0,246.5582321012421,172.59076247086946
723223-202601-6-10515517-196157-20260118,1/18/2026,MO,0.3,191.24991137093303,0,191.24991137093303,57.37497341127991
723223-202601-6-10515517-196157-20260118,1/18/2026,TX,0.3,238.46507206022386,0,238.46507206022386,71.53952161806716
723223-202601-6-10515517-252633-20260118,1/18/2026,AR,0.3,59.997536912321486,0,59.997536912321486,17.999261073696445
723223-202601-6-10515517-252633-20260118,1/18/2026,IL,0.7,324.04968253462096,0,324.04968253462096,226.83477777423465
723223-202601-6-10515517-252633-20260118,1/18/2026,IL,0.7,7.0179237057097605,0,7.0179237057097605,4.912546593996832
723223-202601-6-10515517-252633-20260118,1/18/2026,MO,0.3,83.49184342219715,0,83.49184342219715,25.047553026659145
723223-202601-6-10515517-252633-20260118,1/18/2026,TN,0.3,15.470504389772962,0,15.470504389772962,4.6411513169318885
723223-202601-6-10515517-256804-20260118,1/18/2026,IL,0.7,10.247751327646542,0,10.247751327646542,7.173425929352579
723223-202601-6-10515517-256804-20260118,1/18/2026,IN,0.3,151.10701344228923,0,151.10701344228923,45.332104032686765
723223-202601-6-10515539-238801-20260118,1/18/2026,IL,0.7,97.86004713181005,60,37.86004713181005,26.502032992267033
723223-202601-6-10515539-238801-20260118,1/18/2026,IL,0.7,135.80093672628948,0,135.80093672628948,95.06065570840263
723223-202601-6-10515539-238801-20260118,1/18/2026,MO,0.3,93.86799692396613,0,93.86799692396613,28.16039907718984
723223-202601-6-10515539-246930-20260117,1/17/2026,IL,0.7,231.07977626460652,0,231.07977626460652,161.75584338522455
723223-202601-6-10515539-246930-20260117,1/17/2026,MO,0.3,173.28684429525472,0,173.28684429525472,51.986053288576414
723223-202601-6-10515539-250129-20260123,1/23/2026,IL,0.7,9.668839097693462,0,9.668839097693462,6.768187368385424
723223-202601-6-10515539-250129-20260123,1/23/2026,IN,0.3,143.7576294110105,0,143.7576294110105,43.12728882330315
723223-202601-6-10515539-250129-20260123,1/23/2026,OH,0.3,222.4090961010213,0,222.4090961010213,66.7227288303064
723223-202601-6-10515539-250129-20260123,1/23/2026,PA,0.3,17.513519120356925,0,17.513519120356925,5.254055736107078
723223-202601-6-10515539-250129-20260123,1/23/2026,WV,0.3,5.473862427412676,0,5.473862427412676,1.6421587282238028
723223-202601-6-10515539-251673-20260124,1/24/2026,IL,0.7,88.91042446282219,0,88.91042446282219,62.23729712397553
723223-202601-6-10515539-251673-20260124,1/24/2026,IN,0.3,165.12144514675902,0,165.12144514675902,49.5364335440277
723223-202601-6-10515539-251673-20260124,1/24/2026,KY,0.3,111.49330818612191,0,111.49330818612191,33.44799245583657
723223-202601-6-10515539-251673-20260124,1/24/2026,TN,0.3,32.39688681203755,0,32.39688681203755,9.719066043611265
723223-202601-6-10515539-253666-20260118,1/18/2026,IL,0.7,31.484850534960405,0,31.484850534960405,22.03939537447228
723223-202601-6-10515539-253666-20260118,1/18/2026,IL,0.7,7.074739013476792,0,7.074739013476792,4.952317309433754
723223-202601-6-10515539-253666-20260118,1/18/2026,IN,0.3,224.99377567070528,0,224.99377567070528,67.49813270121157
723223-202601-6-10515539-253666-20260118,1/18/2026,KY,0.3,54.61675957100895,0,54.61675957100895,16.385027871302682
723223-202601-6-10515539-253802-20260118,1/18/2026,IL,0.7,31.5232528057305,0,31.5232528057305,22.066276964011347
723223-202601-6-10515539-253802-20260118,1/18/2026,IN,0.3,224.9868370247182,0,224.9868370247182,67.49605110741545
723223-202601-6-10515539-253802-20260118,1/18/2026,KY,0.3,54.603988347199774,0,54.603988347199774,16.38119650415993
723283-202545-6-9192170-205941-20260116,1/16/2026,CA,0.7,12.449202913617011,12.449202913617011,0,0
723283-202545-6-9192170-205941-20260116,1/16/2026,CA,0.7,90.472612030653,35.410797086382985,55.06181494427001,38.54327046098901
723283-202545-6-9192170-205941-20260116,1/16/2026,NV,0.3,69.91869334109903,0,69.91869334109903,20.975608002329707
723283-202545-6-9192170-227756-20260116,1/16/2026,AZ,0.3,150.84848655243067,0,150.84848655243067,45.2545459657292
723283-202545-6-9192170-227756-20260116,1/16/2026,CA,0.7,12.464556311426033,12.464556311426033,0,0
723283-202545-6-9192170-227756-20260116,1/16/2026,CA,0.7,257.56472359344696,34.845443688573965,222.719279904873,155.90349593341108
723283-202545-6-9192170-227756-20260116,1/16/2026,NV,0.3,152.16914080844535,0,152.16914080844535,45.6507422425336
723283-202545-6-9192170-252039-20260116,1/16/2026,CA,0.7,12.427204171453694,12.427204171453694,0,0
723283-202545-6-9192170-252039-20260116,1/16/2026,CA,0.7,7.647469987258971,7.647469987258971,0,0
723283-202545-6-9192170-252039-20260116,1/16/2026,CA,0.7,321.0694706362089,38.165325841287334,282.9041447949216,198.0329013564451
723283-202545-6-9192170-252039-20260117,1/17/2026,CA,0.7,122.50049625635135,0,122.50049625635135,85.75034737944594
723283-202545-6-9192170-252039-20260117,1/17/2026,NV,0.3,40.05604234994572,0,40.05604234994572,12.016812704983716
723287-202603-6-9188129-196376-20260117,1/17/2026,AR,0.3,13.225412441298579,0,13.225412441298579,3.9676237323895736
723287-202603-6-9188129-196376-20260117,1/17/2026,IL,0.7,17.50528787802947,17.50528787802947,0,0
723287-202603-6-9188129-196376-20260117,1/17/2026,MO,0.3,268.19839746897304,0,268.19839746897304,80.4595192406919
723287-202603-6-9188129-196376-20260117,1/17/2026,MS,0.3,140.85912111509887,12.49471212197053,128.36440899312834,38.5093226979385
723287-202603-6-9188129-196376-20260117,1/17/2026,TN,0.3,66.55563944415098,0,66.55563944415098,19.966691833245296
723287-202603-6-9188129-247884-20260117,1/17/2026,IL,0.7,173.00955650239817,30,143.00955650239817,100.10668955167871
